Edad,trabajo,estado_civil,educacion,saldo,credito_vivienda,prestamo,contacto,campaign,contactos_previos,poutcome,suscrito
56.0,management,married,tertiary,90489,no,yes,telephone,36.0,2.0,nonexistent,yes
69.0,management,married,tertiary,40823,no,yes,cellular,33.0,4.0,failure,yes
32.0,admin,single,tertiary,84190,no,yes,telephone,3.0,2.0,success,yes
60.0,self-employed,divorced,primary,45418,no,no,cellular,35.0,0.0,failure,no
38.0,self-employed,divorced,primary,46695,no,no,telephone,7.0,0.0,success,yes
28.0,admin,single,secondary,77218,yes,no,cellular,3.0,3.0,failure,yes
28.0,services,single,tertiary,46028,no,no,cellular,43.0,0.0,nonexistent,no
41.0,retired,single,primary,75700,yes,yes,telephone,18.0,4.0,success,no
70.0,technician,single,tertiary,Auto%#,yes,no,cellular,25.131025957972806,0.0,nonexistent,yes
57.0,retired,divorced,tertiary,52628,yes,yes,telephone,25.131025957972806,2.0,success,yes
41.0,unemployed,single,secondary,87463,no,no,cellular,9.0,3.0,success,no
39.0,self-employed,divorced,tertiary,83096,yes,no,cellular,41.0,1.0,nonexistent,no
70.0,unemployed,married,primary,12725,yes,no,telephone,42.0,1.0,nonexistent,yes
61.0,self-employed,divorced,secondary,43969,no,no,cellular,46.0,3.0,nonexistent,no
47.0,technician,divorced,secondary,93498,yes,no,telephone,4.0,4.0,success,no
55.0,admin,married,primary,65122,no,no,cellular,25.131025957972806,1.0,success,no
19.0,retired,married,tertiary,6056,yes,yes,cellular,29.0,0.0,nonexistent,yes
38.0,unemployed,divorced,primary,68958,yes,no,telephone,11.0,2.0004504098729843,nonexistent,no
39.0,self-employed,divorced,tertiary,0,no,no,telephone,5.0,1.0,failure,yes
61.0,management,married,tertiary,93068,no,no,cellular,12.0,2.0,failure,yes
42.0,entrepreneur,divorced,tertiary,10521,yes,yes,cellular,25.131025957972806,0.0,nonexistent,no
44.0,unemployed,divorced,secondary,66514,yes,yes,cellular,24.0,3.0,failure,no
59.0,management,single,secondary,40769,yes,no,cellular,13.0,4.0,success,no
45.0,technician,divorced,primary,29275,no,yes,telephone,32.0,2.0004504098729843,failure,yes
33.0,blue-collar,married,tertiary,41766,yes,yes,cellular,26.0,0.0,failure,yes
32.0,unemployed,divorced,tertiary,10343,no,no,cellular,40.0,4.0,success,yes
64.0,unemployed,married,tertiary,75487,yes,yes,telephone,26.0,3.0,failure,no
68.0,blue-collar,single,primary,0,yes,no,cellular,36.0,3.0,failure,no
61.0,unemployed,single,tertiary,75056,yes,no,cellular,45.0,3.0,failure,no
72.0,blue-collar,divorced,secondary,74862,yes,no,cellular,30.0,1.0,success,no
69.0,management,single,tertiary,28521,yes,no,telephone,47.0,3.0,success,yes
74.0,technician,single,primary,98263,no,yes,cellular,9.0,0.0,failure,no
68.0,services,divorced,secondary,32343,no,no,telephone,18.0,2.0004504098729843,success,yes
24.0,student,divorced,secondary,75458,no,yes,cellular,9.0,4.0,success,no
38.0,admin,married,secondary,72327,yes,no,cellular,22.0,3.0,success,no
56.0,admin,married,tertiary,13040,yes,no,telephone,21.0,3.0,nonexistent,yes
46.18152922479251,admin,divorced,primary,23187,no,no,telephone,7.0,2.0004504098729843,nonexistent,no
46.18152922479251,technician,married,primary,60678,no,no,cellular,12.0,2.0,failure,no
42.0,student,single,tertiary,94396,yes,yes,telephone,36.0,2.0,success,yes
26.0,retired,married,primary,88672,yes,yes,cellular,27.0,4.0,nonexistent,no
43.0,services,single,secondary,80546,yes,yes,telephone,7.0,4.0,failure,yes
70.0,management,single,secondary,61989,no,no,telephone,2.0,2.0,nonexistent,yes
19.0,unemployed,single,primary,37652,yes,yes,telephone,10.0,4.0,nonexistent,yes
37.0,admin,single,primary,75510,no,yes,telephone,3.0,2.0,success,no
45.0,services,single,tertiary,72402,yes,no,cellular,17.0,2.0,success,yes
64.0,unemployed,married,tertiary,47200,no,yes,cellular,43.0,2.0,failure,yes
24.0,entrepreneur,divorced,tertiary,81822,no,yes,telephone,1.0,4.0,failure,yes
61.0,services,divorced,tertiary,13015,no,yes,cellular,34.0,1.0,success,no
25.0,student,divorced,tertiary,58911,no,no,telephone,13.0,1.0,failure,yes
64.0,unemployed,divorced,tertiary,90206,yes,yes,cellular,14.0,1.0,success,yes
52.0,admin,divorced,primary,54221,yes,no,cellular,17.0,0.0,success,no
31.0,entrepreneur,single,primary,18695,yes,no,telephone,25.131025957972806,1.0,nonexistent,no
53.0,self-employed,single,tertiary,22190,no,no,cellular,41.0,1.0,success,no
67.0,blue-collar,married,secondary,5997,no,no,cellular,25.0,3.0,nonexistent,yes
57.0,admin,married,primary,20752,no,no,telephone,44.0,2.0,nonexistent,no
21.0,unemployed,married,primary,16069,no,no,cellular,30.0,4.0,nonexistent,no
19.0,entrepreneur,married,primary,59485,yes,yes,cellular,48.0,3.0,nonexistent,no
23.0,student,divorced,tertiary,55291,yes,no,telephone,36.0,2.0,success,yes
71.0,technician,married,tertiary,28508,yes,no,telephone,11.0,1.0,success,no
21.0,unemployed,divorced,tertiary,49574,yes,yes,telephone,20.0,3.0,success,no
71.0,blue-collar,single,primary,49902,no,yes,telephone,29.0,4.0,success,yes
46.0,blue-collar,single,primary,60426,yes,no,cellular,4.0,3.0,success,no
35.0,retired,single,secondary,6524,yes,no,cellular,34.0,3.0,nonexistent,yes
43.0,self-employed,single,secondary,8071,yes,yes,cellular,42.0,2.0,success,yes
51.0,blue-collar,divorced,secondary,84132,yes,yes,cellular,17.0,4.0,nonexistent,yes
53.0,retired,single,secondary,73317,no,yes,telephone,4.0,2.0004504098729843,nonexistent,no
31.0,retired,divorced,primary,38239,no,yes,cellular,41.0,3.0,success,yes
48.0,entrepreneur,married,tertiary,45560,yes,no,cellular,14.0,1.0,failure,no
65.0,retired,single,tertiary,98295,no,no,telephone,4.0,3.0,nonexistent,no
25.0,unemployed,married,tertiary,52542,no,no,cellular,18.0,1.0,nonexistent,no
31.0,admin,married,tertiary,90375,yes,no,telephone,13.0,0.0,success,no
40.0,technician,married,secondary,47264,no,no,telephone,10.0,2.0,success,yes
74.0,blue-collar,married,primary,65799,yes,yes,cellular,14.0,4.0,success,no
57.0,self-employed,single,tertiary,88538,no,no,telephone,9.0,4.0,success,yes
38.0,retired,married,primary,36022,no,no,telephone,43.0,2.0,nonexistent,yes
33.0,student,single,secondary,89178,yes,no,telephone,20.0,3.0,success,no
62.0,student,divorced,secondary,33579,no,yes,telephone,1.0,3.0,success,yes
35.0,blue-collar,married,tertiary,10571,no,no,cellular,44.0,3.0,nonexistent,no
64.0,technician,married,tertiary,80753,no,no,telephone,29.0,4.0,failure,yes
70.0,unemployed,divorced,secondary,46225,yes,no,cellular,17.0,2.0,success,yes
41.0,admin,single,secondary,5227,yes,no,cellular,49.0,3.0,success,no
62.0,management,divorced,primary,76208,no,no,telephone,25.131025957972806,2.0,failure,yes
58.0,student,married,secondary,51406,no,no,telephone,25.0,2.0,success,no
46.0,self-employed,single,primary,39783,yes,no,telephone,20.0,2.0,success,no
32.0,retired,divorced,secondary,98822,yes,no,telephone,25.0,2.0,success,yes
62.0,self-employed,married,primary,83587,yes,no,cellular,21.0,0.0,nonexistent,yes
42.0,entrepreneur,married,secondary,26845,yes,yes,telephone,13.0,0.0,success,yes
24.0,admin,single,secondary,8015,yes,no,telephone,47.0,3.0,failure,no
26.0,technician,divorced,primary,80961,no,no,cellular,30.0,0.0,success,no
41.0,entrepreneur,married,primary,19496,yes,yes,cellular,13.0,0.0,nonexistent,yes
18.0,management,divorced,tertiary,-1293,no,yes,telephone,40.0,4.0,success,no
61.0,services,divorced,tertiary,15767,no,yes,telephone,7.0,2.0,failure,no
25.0,student,single,primary,24467,yes,no,telephone,42.0,0.0,nonexistent,yes
41.0,technician,single,secondary,81222,yes,no,cellular,12.0,2.0,failure,no
28.0,technician,married,secondary,5118,no,no,telephone,2.0,1.0,failure,yes
68.0,student,divorced,primary,61884,yes,no,telephone,14.0,0.0,success,yes
25.0,student,married,secondary,95021,yes,no,telephone,17.0,4.0,nonexistent,no
50.0,unemployed,divorced,primary,49716,no,no,cellular,47.0,1.0,nonexistent,yes
59.0,blue-collar,married,primary,40523,yes,no,cellular,47.0,0.0,nonexistent,yes
56.0,self-employed,married,tertiary,32028,no,yes,telephone,26.0,3.0,success,yes
24.0,blue-collar,divorced,tertiary,19788,yes,yes,telephone,13.0,3.0,success,no
29.0,retired,divorced,secondary,52739,yes,no,cellular,9.0,1.0,failure,yes
50.0,management,single,secondary,-407,no,no,cellular,23.0,2.0,failure,no
65.0,unemployed,single,secondary,2602,no,no,telephone,41.0,0.0,success,yes
40.0,admin,divorced,secondary,93865,no,yes,telephone,30.0,3.0,nonexistent,no
41.0,entrepreneur,married,tertiary,8943,no,yes,telephone,7.0,1.0,success,yes
54.0,self-employed,divorced,tertiary,31012,no,yes,cellular,14.0,2.0,failure,no
52.0,admin,divorced,secondary,68108,yes,yes,telephone,2.0,2.0004504098729843,failure,yes
61.0,technician,married,tertiary,14250,no,no,cellular,12.0,2.0,failure,yes
57.0,blue-collar,divorced,primary,80169,yes,no,cellular,25.131025957972806,2.0,failure,yes
52.0,entrepreneur,divorced,secondary,89707,yes,no,telephone,28.0,3.0,failure,yes
46.18152922479251,unemployed,single,primary,69405,no,no,telephone,28.0,3.0,success,yes
52.0,retired,divorced,secondary,69507,no,no,telephone,12.0,4.0,failure,yes
54.0,unemployed,married,secondary,47662,yes,no,telephone,30.0,3.0,nonexistent,yes
